1.0.0.230#哥斯达黎加-圣荷西 558ms
104.16.100.199#哥斯达黎加-圣荷西 721ms
104.16.51.134#哥斯达黎加-圣荷西 873ms
104.16.74.93#哥斯达黎加-圣荷西 873ms
104.16.65.56#哥斯达黎加-圣荷西 886ms
104.16.22.222#哥斯达黎加-圣荷西 849ms
104.16.98.60#哥斯达黎加-圣荷西 731ms
104.16.110.26#哥斯达黎加-圣荷西 693ms
104.16.59.226#哥斯达黎加-圣荷西 886ms
104.16.70.11#哥斯达黎加-圣荷西 873ms
104.16.99.16#哥斯达黎加-圣荷西 698ms
104.16.64.174#哥斯达黎加-圣荷西 905ms
104.16.30.93#哥斯达黎加-圣荷西 905ms
104.16.81.214#哥斯达黎加-圣荷西 904ms
104.16.18.144#哥斯达黎加-圣荷西 914ms
104.16.101.42#哥斯达黎加-圣荷西 708ms
104.16.104.17#哥斯达黎加-圣荷西 727ms
104.16.28.111#哥斯达黎加-圣荷西 916ms
104.16.69.43#哥斯达黎加-圣荷西 922ms
104.16.73.194#哥斯达黎加-圣荷西 929ms
104.16.94.233#哥斯达黎加-圣荷西 924ms
104.16.129.29#哥斯达黎加-圣荷西 587ms
104.16.109.166#哥斯达黎加-圣荷西 718ms
104.16.130.49#哥斯达黎加-圣荷西 602ms
104.16.138.152#哥斯达黎加-圣荷西 580ms
104.16.111.252#哥斯达黎加-圣荷西 747ms
104.16.103.205#哥斯达黎加-圣荷西 832ms
104.16.102.207#哥斯达黎加-圣荷西 886ms
104.16.105.254#哥斯达黎加-圣荷西 882ms
104.16.208.7#中国香港-香港 181ms
104.16.210.65#中国香港-香港 169ms
104.16.209.94#中国香港-香港 174ms
104.16.212.164#中国香港-香港 164ms
104.16.211.209#中国香港-香港 165ms
104.16.213.173#中国香港-香港 169ms
104.16.106.156#哥斯达黎加-圣荷西 882ms
104.16.217.208#中国香港-香港 171ms
104.16.214.137#中国香港-香港 178ms
104.16.140.84#哥斯达黎加-圣荷西 641ms
104.16.215.195#中国香港-香港 178ms
104.16.223.35#中国香港-香港 173ms
104.16.220.36#中国香港-香港 177ms
104.16.221.78#中国香港-香港 188ms
104.16.219.26#中国香港-香港 191ms
104.16.146.67#哥斯达黎加-圣荷西 645ms
104.16.218.55#中国香港-香港 202ms
104.16.165.214#哥斯达黎加-圣荷西 421ms
104.16.222.220#中国香港-香港 211ms
104.16.133.68#哥斯达黎加-圣荷西 762ms
104.16.131.200#哥斯达黎加-圣荷西 845ms
104.16.135.245#哥斯达黎加-圣荷西 841ms
104.16.139.84#哥斯达黎加-圣荷西 748ms
104.16.141.107#哥斯达黎加-圣荷西 805ms
104.16.143.93#哥斯达黎加-圣荷西 805ms
104.16.235.6#哥斯达黎加-圣荷西 171ms
104.16.144.170#哥斯达黎加-圣荷西 746ms
104.16.200.31#哥斯达黎加-圣荷西 390ms
104.16.128.113#哥斯达黎加-圣荷西 927ms
104.16.163.194#哥斯达黎加-圣荷西 642ms
104.16.136.160#哥斯达黎加-圣荷西 894ms
104.16.149.225#哥斯达黎加-圣荷西 755ms
104.16.150.114#哥斯达黎加-圣荷西 848ms
104.16.142.161#哥斯达黎加-圣荷西 815ms
104.16.153.188#哥斯达黎加-圣荷西 690ms
104.16.145.201#哥斯达黎加-圣荷西 807ms
104.16.162.3#哥斯达黎加-圣荷西 626ms
104.17.2.118#哥斯达黎加-圣荷西 164ms
104.16.151.129#哥斯达黎加-圣荷西 831ms
104.16.159.205#哥斯达黎加-圣荷西 684ms
104.16.154.128#哥斯达黎加-圣荷西 746ms
104.16.158.125#哥斯达黎加-圣荷西 737ms
104.16.174.196#哥斯达黎加-圣荷西 680ms
104.16.148.95#哥斯达黎加-圣荷西 915ms
104.17.7.24#哥斯达黎加-圣荷西 173ms
104.16.156.109#哥斯达黎加-圣荷西 799ms
104.16.167.50#哥斯达黎加-圣荷西 809ms
104.16.181.91#哥斯达黎加-圣荷西 682ms
104.16.168.103#哥斯达黎加-圣荷西 724ms
104.16.230.8#哥斯达黎加-圣荷西 433ms
104.16.160.85#哥斯达黎加-圣荷西 815ms
104.16.161.57#哥斯达黎加-圣荷西 805ms
104.16.157.60#哥斯达黎加-圣荷西 818ms
104.16.239.119#哥斯达黎加-圣荷西 374ms
104.16.241.190#哥斯达黎加-圣荷西 422ms
104.16.205.105#哥斯达黎加-圣荷西 632ms
104.16.175.248#哥斯达黎加-圣荷西 788ms
104.16.171.159#哥斯达黎加-圣荷西 818ms
104.16.182.34#哥斯达黎加-圣荷西 755ms
104.16.172.51#哥斯达黎加-圣荷西 793ms
104.16.180.36#哥斯达黎加-圣荷西 784ms
104.16.169.0#哥斯达黎加-圣荷西 911ms
104.16.194.168#哥斯达黎加-圣荷西 800ms
104.16.176.20#哥斯达黎加-圣荷西 874ms
104.16.186.194#哥斯达黎加-圣荷西 775ms
104.16.185.37#哥斯达黎加-圣荷西 843ms
104.16.189.21#哥斯达黎加-圣荷西 794ms
104.16.226.61#哥斯达黎加-圣荷西 629ms
104.16.190.111#哥斯达黎加-圣荷西 813ms
104.16.196.21#哥斯达黎加-圣荷西 773ms
104.16.198.93#哥斯达黎加-圣荷西 773ms
104.16.191.252#哥斯达黎加-圣荷西 823ms
104.16.184.132#哥斯达黎加-圣荷西 877ms
104.16.193.112#哥斯达黎加-圣荷西 811ms
104.16.183.138#哥斯达黎加-圣荷西 851ms
104.16.187.124#哥斯达黎加-圣荷西 797ms
104.16.227.50#哥斯达黎加-圣荷西 687ms
104.16.188.221#哥斯达黎加-圣荷西 848ms
104.16.199.113#哥斯达黎加-圣荷西 890ms
104.16.203.138#哥斯达黎加-圣荷西 837ms
104.16.195.239#哥斯达黎加-圣荷西 861ms
104.16.232.123#哥斯达黎加-圣荷西 612ms
104.16.202.114#哥斯达黎加-圣荷西 851ms
104.16.204.142#哥斯达黎加-圣荷西 842ms
104.16.207.97#哥斯达黎加-圣荷西 836ms
104.16.192.154#哥斯达黎加-圣荷西 881ms
104.16.201.221#哥斯达黎加-圣荷西 863ms
104.16.197.172#哥斯达黎加-圣荷西 861ms
104.16.228.175#哥斯达黎加-圣荷西 796ms
104.16.229.238#哥斯达黎加-圣荷西 776ms
104.16.206.70#哥斯达黎加-圣荷西 880ms
104.17.10.234#哥斯达黎加-圣荷西 415ms
104.16.247.17#哥斯达黎加-圣荷西 647ms
104.16.251.17#哥斯达黎加-圣荷西 603ms
104.16.225.128#哥斯达黎加-圣荷西 821ms
104.16.224.144#哥斯达黎加-圣荷西 912ms
104.17.3.172#哥斯达黎加-圣荷西 553ms
104.17.17.243#哥斯达黎加-圣荷西 417ms
104.16.237.45#哥斯达黎加-圣荷西 866ms
104.17.65.238#中国香港-香港 165ms
104.17.66.81#中国香港-香港 173ms
104.17.64.162#中国香港-香港 181ms
104.16.249.143#哥斯达黎加-圣荷西 836ms
104.17.67.136#中国香港-香港 170ms
104.17.4.63#哥斯达黎加-圣荷西 610ms
104.16.238.124#哥斯达黎加-圣荷西 794ms
104.17.68.164#中国香港-香港 191ms
104.16.250.236#哥斯达黎加-圣荷西 850ms
104.17.69.57#中国香港-香港 186ms
104.16.236.79#哥斯达黎加-圣荷西 803ms
104.17.73.245#中国香港-香港 174ms
104.17.77.124#中国香港-香港 172ms
104.17.71.243#中国香港-香港 194ms
104.17.41.180#哥斯达黎加-圣荷西 458ms
104.16.234.75#哥斯达黎加-圣荷西 836ms
104.17.75.40#中国香港-香港 181ms
104.17.79.26#中国香港-香港 163ms
104.17.76.175#中国香港-香港 191ms
104.17.70.63#中国香港-香港 219ms
104.16.242.229#哥斯达黎加-圣荷西 811ms
104.16.255.86#哥斯达黎加-圣荷西 749ms
104.16.243.182#哥斯达黎加-圣荷西 826ms
104.17.1.187#哥斯达黎加-圣荷西 769ms
104.16.240.88#哥斯达黎加-圣荷西 828ms
104.17.13.246#哥斯达黎加-圣荷西 748ms
104.17.8.208#哥斯达黎加-圣荷西 685ms
104.16.244.105#哥斯达黎加-圣荷西 848ms
104.16.253.114#哥斯达黎加-圣荷西 797ms
104.17.20.82#哥斯达黎加-圣荷西 686ms
104.17.80.22#哥斯达黎加-圣荷西 254ms
104.17.0.148#哥斯达黎加-圣荷西 815ms
104.17.16.169#哥斯达黎加-圣荷西 683ms
104.17.5.101#哥斯达黎加-圣荷西 791ms
104.17.104.134#哥斯达黎加-圣荷西 153ms
104.16.254.196#哥斯达黎加-圣荷西 850ms
104.17.23.204#哥斯达黎加-圣荷西 668ms
104.17.12.92#哥斯达黎加-圣荷西 788ms
104.17.11.39#哥斯达黎加-圣荷西 795ms
104.17.9.102#哥斯达黎加-圣荷西 819ms
104.17.28.253#哥斯达黎加-圣荷西 638ms
104.17.25.174#哥斯达黎加-圣荷西 666ms
104.17.27.71#哥斯达黎加-圣荷西 663ms
104.17.22.136#哥斯达黎加-圣荷西 784ms
104.17.14.43#哥斯达黎加-圣荷西 853ms
104.17.19.48#哥斯达黎加-圣荷西 790ms
104.17.38.117#哥斯达黎加-圣荷西 642ms
104.17.31.124#哥斯达黎加-圣荷西 745ms
104.17.35.172#哥斯达黎加-圣荷西 744ms
104.17.128.46#中国香港-香港 177ms
104.17.129.58#中国香港-香港 177ms
104.17.130.56#中国香港-香港 191ms
104.17.55.93#哥斯达黎加-圣荷西 546ms
104.17.58.46#哥斯达黎加-圣荷西 555ms
104.17.36.84#哥斯达黎加-圣荷西 666ms
104.17.48.180#哥斯达黎加-圣荷西 578ms
104.17.131.101#中国香港-香港 188ms
104.17.132.159#中国香港-香港 192ms
104.17.57.195#哥斯达黎加-圣荷西 564ms
104.17.26.97#哥斯达黎加-圣荷西 792ms
104.17.49.115#哥斯达黎加-圣荷西 608ms
104.17.133.143#中国香港-香港 166ms
104.17.29.11#哥斯达黎加-圣荷西 807ms
104.17.33.97#哥斯达黎加-圣荷西 765ms
104.17.134.230#中国香港-香港 180ms
104.17.47.130#哥斯达黎加-圣荷西 731ms
104.17.46.153#哥斯达黎加-圣荷西 681ms
104.17.135.0#中国香港-香港 175ms
104.17.24.79#哥斯达黎加-圣荷西 789ms
104.17.59.214#哥斯达黎加-圣荷西 710ms
104.17.50.167#哥斯达黎加-圣荷西 736ms
104.17.136.131#中国香港-香港 187ms
104.17.139.54#中国香港-香港 170ms
104.17.138.109#中国香港-香港 182ms
104.17.137.215#中国香港-香港 186ms
104.17.45.59#哥斯达黎加-圣荷西 681ms
104.17.60.208#哥斯达黎加-圣荷西 746ms
104.17.37.10#哥斯达黎加-圣荷西 789ms
104.17.141.75#中国香港-香港 178ms
104.17.86.54#哥斯达黎加-圣荷西 485ms
104.17.143.37#中国香港-香港 182ms
104.17.142.39#中国香港-香港 183ms
104.17.53.217#哥斯达黎加-圣荷西 667ms
104.17.40.211#哥斯达黎加-圣荷西 808ms
104.17.140.83#中国香港-香港 220ms
104.17.32.92#哥斯达黎加-圣荷西 882ms
104.17.51.48#哥斯达黎加-圣荷西 693ms
104.17.34.78#哥斯达黎加-圣荷西 854ms
104.17.82.131#哥斯达黎加-圣荷西 739ms
104.17.30.27#哥斯达黎加-圣荷西 927ms
104.17.93.92#哥斯达黎加-圣荷西 479ms
104.17.39.51#哥斯达黎加-圣荷西 902ms
104.17.42.84#哥斯达黎加-圣荷西 832ms
104.17.44.57#哥斯达黎加-圣荷西 876ms
104.17.43.147#哥斯达黎加-圣荷西 838ms
104.17.89.128#哥斯达黎加-圣荷西 590ms
104.17.62.249#哥斯达黎加-圣荷西 827ms
104.17.61.248#哥斯达黎加-圣荷西 827ms
104.17.63.62#哥斯达黎加-圣荷西 852ms
104.17.94.40#哥斯达黎加-圣荷西 589ms
104.17.126.157#哥斯达黎加-圣荷西 585ms
104.17.117.103#哥斯达黎加-圣荷西 593ms
104.17.95.252#哥斯达黎加-圣荷西 634ms
104.17.90.50#哥斯达黎加-圣荷西 699ms
104.17.92.26#哥斯达黎加-圣荷西 697ms
104.17.52.62#哥斯达黎加-圣荷西 918ms
104.17.120.243#哥斯达黎加-圣荷西 537ms
104.17.101.159#哥斯达黎加-圣荷西 703ms
104.17.194.111#哥斯达黎加-圣荷西 163ms
104.17.84.91#哥斯达黎加-圣荷西 828ms
104.17.124.57#哥斯达黎加-圣荷西 598ms
104.17.199.40#哥斯达黎加-圣荷西 141ms
104.17.81.117#哥斯达黎加-圣荷西 847ms
104.17.83.117#哥斯达黎加-圣荷西 842ms
104.17.116.59#哥斯达黎加-圣荷西 703ms
104.17.147.99#哥斯达黎加-圣荷西 452ms
104.17.99.190#哥斯达黎加-圣荷西 633ms
104.17.87.198#哥斯达黎加-圣荷西 833ms
104.17.85.22#哥斯达黎加-圣荷西 884ms
104.17.110.112#哥斯达黎加-圣荷西 623ms
104.17.88.169#哥斯达黎加-圣荷西 832ms
104.17.106.39#哥斯达黎加-圣荷西 637ms
104.17.125.240#哥斯达黎加-圣荷西 682ms
104.17.109.40#哥斯达黎加-圣荷西 642ms
104.17.96.185#哥斯达黎加-圣荷西 799ms
104.17.127.22#哥斯达黎加-圣荷西 709ms
104.17.111.104#哥斯达黎加-圣荷西 836ms
104.17.115.205#哥斯达黎加-圣荷西 765ms
104.17.112.188#哥斯达黎加-圣荷西 786ms
104.17.108.160#哥斯达黎加-圣荷西 795ms
104.17.114.70#哥斯达黎加-圣荷西 782ms
104.17.107.173#哥斯达黎加-圣荷西 811ms
104.17.98.171#哥斯达黎加-圣荷西 858ms
104.17.91.235#哥斯达黎加-圣荷西 924ms
104.17.121.50#哥斯达黎加-圣荷西 701ms
104.17.169.24#哥斯达黎加-圣荷西 417ms
104.17.146.40#哥斯达黎加-圣荷西 566ms
104.17.118.112#哥斯达黎加-圣荷西 803ms
104.17.119.220#哥斯达黎加-圣荷西 848ms
104.17.100.86#哥斯达黎加-圣荷西 920ms
104.17.182.87#哥斯达黎加-圣荷西 472ms
104.17.103.133#哥斯达黎加-圣荷西 927ms
104.17.179.213#哥斯达黎加-圣荷西 406ms
104.17.102.153#哥斯达黎加-圣荷西 949ms
104.17.177.83#哥斯达黎加-圣荷西 432ms
104.17.149.228#哥斯达黎加-圣荷西 657ms
104.17.153.229#哥斯达黎加-圣荷西 621ms
104.17.154.133#哥斯达黎加-圣荷西 634ms
104.17.123.176#哥斯达黎加-圣荷西 886ms
104.17.151.177#哥斯达黎加-圣荷西 631ms
104.17.152.233#哥斯达黎加-圣荷西 703ms
104.17.192.222#哥斯达黎加-圣荷西 438ms
104.17.190.99#哥斯达黎加-圣荷西 641ms
104.17.167.251#哥斯达黎加-圣荷西 641ms
104.17.172.95#哥斯达黎加-圣荷西 700ms
104.17.164.181#哥斯达黎加-圣荷西 721ms
104.17.171.114#哥斯达黎加-圣荷西 633ms
104.17.162.196#哥斯达黎加-圣荷西 703ms
104.17.144.225#哥斯达黎加-圣荷西 823ms
104.17.145.247#哥斯达黎加-圣荷西 804ms
104.17.170.234#哥斯达黎加-圣荷西 720ms
104.17.195.213#哥斯达黎加-圣荷西 483ms
104.17.184.79#哥斯达黎加-圣荷西 667ms
104.17.176.81#哥斯达黎加-圣荷西 695ms
104.18.3.1#哥斯达黎加-圣荷西 170ms
104.17.200.214#哥斯达黎加-圣荷西 571ms
104.17.160.17#哥斯达黎加-圣荷西 843ms
104.17.188.2#哥斯达黎加-圣荷西 678ms
104.17.161.3#哥斯达黎加-圣荷西 820ms
104.17.165.69#哥斯达黎加-圣荷西 833ms
104.17.197.58#哥斯达黎加-圣荷西 654ms
104.17.155.127#哥斯达黎加-圣荷西 877ms
104.17.148.58#哥斯达黎加-圣荷西 899ms
104.17.156.242#哥斯达黎加-圣荷西 848ms
104.17.150.166#哥斯达黎加-圣荷西 900ms
104.17.168.204#哥斯达黎加-圣荷西 872ms
104.17.159.161#哥斯达黎加-圣荷西 869ms
104.17.181.111#哥斯达黎加-圣荷西 814ms
104.17.175.57#哥斯达黎加-圣荷西 867ms
104.17.163.82#哥斯达黎加-圣荷西 911ms
104.18.18.95#中国香港-香港 167ms
104.18.16.1#中国香港-香港 180ms
104.18.19.110#中国香港-香港 164ms
104.18.17.78#中国香港-香港 188ms
104.17.191.204#哥斯达黎加-圣荷西 813ms
104.17.203.34#哥斯达黎加-圣荷西 588ms
104.18.20.87#中国香港-香港 181ms
104.17.208.39#哥斯达黎加-圣荷西 675ms
104.17.202.249#哥斯达黎加-圣荷西 740ms
104.18.23.244#中国香港-香港 161ms
104.17.210.97#哥斯达黎加-圣荷西 672ms
104.17.215.174#哥斯达黎加-圣荷西 628ms
104.18.21.28#中国香港-香港 181ms
104.17.211.14#哥斯达黎加-圣荷西 657ms
104.18.22.137#中国香港-香港 186ms
104.18.24.26#中国香港-香港 167ms
104.17.193.70#哥斯达黎加-圣荷西 801ms
104.17.204.134#哥斯达黎加-圣荷西 733ms
104.18.25.134#中国香港-香港 178ms
104.17.217.131#哥斯达黎加-圣荷西 689ms
104.17.196.74#哥斯达黎加-圣荷西 870ms
104.18.28.180#中国香港-香港 168ms
104.18.29.249#中国香港-香港 173ms
104.18.30.113#中国香港-香港 173ms
104.17.222.117#哥斯达黎加-圣荷西 694ms
104.18.31.250#中国香港-香港 171ms
104.17.231.202#哥斯达黎加-圣荷西 678ms
104.18.33.114#中国香港-香港 191ms
104.17.198.115#哥斯达黎加-圣荷西 907ms
104.18.36.249#美国-洛杉矶 181ms
104.17.201.75#哥斯达黎加-圣荷西 894ms
104.18.34.180#中国香港-香港 194ms
104.17.243.114#哥斯达黎加-圣荷西 676ms
104.18.41.204#中国香港-香港 183ms
104.17.230.94#哥斯达黎加-圣荷西 668ms
104.18.54.178#哥斯达黎加-圣荷西 137ms
104.18.48.157#哥斯达黎加-圣荷西 143ms
104.18.52.54#哥斯达黎加-圣荷西 153ms
104.18.49.157#哥斯达黎加-圣荷西 152ms
104.18.59.30#哥斯达黎加-圣荷西 138ms
104.18.50.179#哥斯达黎加-圣荷西 164ms
104.17.209.17#哥斯达黎加-圣荷西 911ms
104.18.53.146#哥斯达黎加-圣荷西 162ms
104.17.206.153#哥斯达黎加-圣荷西 856ms
104.18.57.36#哥斯达黎加-圣荷西 154ms
104.17.224.97#哥斯达黎加-圣荷西 736ms
104.18.60.242#哥斯达黎加-圣荷西 142ms
104.18.51.194#哥斯达黎加-圣荷西 172ms
104.18.62.126#哥斯达黎加-圣荷西 142ms
104.18.56.108#哥斯达黎加-圣荷西 164ms
104.18.55.152#哥斯达黎加-圣荷西 165ms
104.17.205.181#哥斯达黎加-圣荷西 866ms
104.18.58.180#哥斯达黎加-圣荷西 159ms
104.18.63.143#哥斯达黎加-圣荷西 148ms
104.17.221.157#哥斯达黎加-圣荷西 761ms
104.17.226.187#哥斯达黎加-圣荷西 718ms
104.17.207.111#哥斯达黎加-圣荷西 919ms
104.17.212.46#哥斯达黎加-圣荷西 928ms
104.18.9.72#哥斯达黎加-圣荷西 613ms
104.18.61.97#哥斯达黎加-圣荷西 193ms
104.17.245.122#哥斯达黎加-圣荷西 574ms
104.17.233.10#哥斯达黎加-圣荷西 716ms
104.17.214.148#哥斯达黎加-圣荷西 886ms
104.18.11.191#哥斯达黎加-圣荷西 641ms
104.17.234.171#哥斯达黎加-圣荷西 745ms
104.17.213.175#哥斯达黎加-圣荷西 918ms
104.17.249.116#哥斯达黎加-圣荷西 585ms
104.17.242.241#哥斯达黎加-圣荷西 738ms
104.17.241.78#哥斯达黎加-圣荷西 719ms
104.17.223.219#哥斯达黎加-圣荷西 836ms
104.17.228.8#哥斯达黎加-圣荷西 805ms
104.17.238.244#哥斯达黎加-圣荷西 916ms
104.17.236.249#哥斯达黎加-圣荷西 717ms
104.17.247.92#哥斯达黎加-圣荷西 896ms
104.17.218.147#哥斯达黎加-圣荷西 940ms
104.18.100.132#哥斯达黎加-圣荷西 163ms
104.17.225.221#哥斯达黎加-圣荷西 904ms
104.18.112.117#美国-洛杉矶 145ms
104.18.113.74#美国-洛杉矶 143ms
104.17.250.124#哥斯达黎加-圣荷西 791ms
104.18.115.224#美国-洛杉矶 153ms
104.18.119.21#美国-洛杉矶 150ms
104.17.237.93#哥斯达黎加-圣荷西 906ms
104.17.229.86#哥斯达黎加-圣荷西 930ms
104.18.4.109#哥斯达黎加-圣荷西 870ms
104.18.117.52#美国-洛杉矶 175ms
104.18.118.189#美国-洛杉矶 166ms
104.18.116.70#美国-洛杉矶 177ms
104.18.121.220#美国-洛杉矶 166ms
104.18.120.183#美国-洛杉矶 182ms
104.17.253.160#哥斯达黎加-圣荷西 816ms
104.18.5.155#哥斯达黎加-圣荷西 749ms
104.18.122.18#美国-洛杉矶 166ms
104.18.2.225#哥斯达黎加-圣荷西 805ms
104.18.123.150#美国-洛杉矶 171ms
104.18.124.69#美国-洛杉矶 162ms
104.17.248.169#哥斯达黎加-圣荷西 886ms
104.18.126.105#美国-洛杉矶 166ms
104.18.8.87#哥斯达黎加-圣荷西 754ms
104.18.127.213#美国-洛杉矶 163ms
104.18.125.253#美国-洛杉矶 170ms
104.17.240.137#哥斯达黎加-圣荷西 940ms
104.18.98.41#哥斯达黎加-圣荷西 274ms
104.18.10.140#哥斯达黎加-圣荷西 730ms
104.18.0.69#哥斯达黎加-圣荷西 871ms
104.18.6.171#哥斯达黎加-圣荷西 856ms
104.18.7.131#哥斯达黎加-圣荷西 729ms
104.18.1.110#哥斯达黎加-圣荷西 872ms
104.18.65.27#哥斯达黎加-圣荷西 516ms
104.18.108.73#哥斯达黎加-圣荷西 299ms
104.18.134.133#哥斯达黎加-圣荷西 173ms
104.18.15.7#哥斯达黎加-圣荷西 801ms
104.18.73.32#哥斯达黎加-圣荷西 457ms
104.18.74.0#哥斯达黎加-圣荷西 477ms
104.18.13.226#哥斯达黎加-圣荷西 859ms
104.18.96.191#哥斯达黎加-圣荷西 425ms
104.18.87.141#哥斯达黎加-圣荷西 582ms
104.18.14.195#哥斯达黎加-圣荷西 868ms
104.18.79.77#哥斯达黎加-圣荷西 640ms
104.18.66.106#哥斯达黎加-圣荷西 588ms
104.18.109.192#哥斯达黎加-圣荷西 414ms
104.18.105.68#哥斯达黎加-圣荷西 565ms
104.18.69.148#哥斯达黎加-圣荷西 764ms
104.18.88.28#哥斯达黎加-圣荷西 517ms
104.18.32.128#哥斯达黎加-圣荷西 822ms
104.18.111.191#哥斯达黎加-圣荷西 698ms
104.18.38.227#哥斯达黎加-圣荷西 791ms
104.18.72.91#哥斯达黎加-圣荷西 693ms
104.18.39.76#哥斯达黎加-圣荷西 818ms
104.18.144.35#哥斯达黎加-圣荷西 491ms
104.18.46.85#哥斯达黎加-圣荷西 835ms
104.18.40.74#哥斯达黎加-圣荷西 850ms
104.18.129.212#哥斯达黎加-圣荷西 655ms
104.18.139.120#哥斯达黎加-圣荷西 531ms
104.18.35.69#哥斯达黎加-圣荷西 904ms
104.18.93.121#哥斯达黎加-圣荷西 713ms
104.18.43.18#哥斯达黎加-圣荷西 858ms
104.18.71.104#哥斯达黎加-圣荷西 836ms
104.18.44.192#哥斯达黎加-圣荷西 876ms
104.18.81.230#哥斯达黎加-圣荷西 833ms
104.18.42.175#哥斯达黎加-圣荷西 886ms
104.18.78.115#哥斯达黎加-圣荷西 821ms
104.18.68.104#哥斯达黎加-圣荷西 866ms
104.18.142.97#哥斯达黎加-圣荷西 423ms
